file, state, mem, time
f/logcount.sk_16_86.cnf.smp.split1, mem, 64471085, 14698
f/V15/s38417_15_7.cnf.smp.split0, timeout, 22949662, 18000
f/V15/s15850a_15_7.cnf.smp.split0, done, 815620, 185.752
f/V15/s5378a_15_7.cnf.smp.split1, done, 588148, 0.511023
f/V15/s38417_15_7.cnf.smp.split1, done, 21584375, 15813.7
f/V15/s9234a_15_7.cnf.smp.split0, done, 594194, 4.64677
f/V15/s5378a_15_7.cnf.smp.split0, done, 595484, 2.95234
f/V15/s38584_15_7.cnf.smp.split1, timeout, 26006011, 18000
f/V15/s9234a_15_7.cnf.smp.split1, done, 729145, 103.427
f/V15/s15850a_15_7.cnf.smp.split1, done, 595832, 1.98168
f/V15/s38584_15_7.cnf.smp.split0, timeout, 26394619, 18000
f/jburnim_morton.sk_13_530.cnf.smp.split1, mem, 64000077, 11609.2
f/partition.sk_22_155.cnf.smp.split1, mem, 64078053, 14570.7
f/signedAvg.sk_8_1020.cnf.smp.split1, timeout, 57619722, 18000
f/V7/s5378a_7_4.cnf.smp.split1, done, 587370, 0.276657
f/V7/s38417_7_4.cnf.smp.split0, timeout, 49605169, 18000
f/V7/s38584_7_4.cnf.smp.split1, done, 1190903, 417.025
f/V7/s15850a_7_4.cnf.smp.split0, done, 591917, 0.302279
f/V7/s9234a_7_4.cnf.smp.split1, done, 854396, 135.586
f/V7/s15850a_7_4.cnf.smp.split1, mem, 64141705, 17307.6
f/V7/s38584_7_4.cnf.smp.split0, timeout, 32048295, 18000
f/V7/s9234a_7_4.cnf.smp.split0, done, 942809, 207.638
f/V7/s5378a_7_4.cnf.smp.split0, done, 593215, 1.87225
f/V7/s38417_7_4.cnf.smp.split1, done, 670547, 24.5303
f/logcount.sk_16_86.cnf.smp.split0, timeout, 26840592, 18000
f/partition.sk_22_155.cnf.smp.split0, timeout, 25947344, 18000
f/listReverse.sk_11_43.cnf.smp.split1, mem, 64267431, 17120.7
f/compress.sk_17_291.cnf.smp.split1, timeout, 28244762, 18000
f/jburnim_morton.sk_13_530.cnf.smp.split0, timeout, 40066043, 18000
f/compress.sk_17_291.cnf.smp.split0, timeout, 15987261, 18000
f/V3/s15850a_3_2.cnf.smp.split1, done, 2953965, 1017.97
f/V3/s38417_3_2.cnf.smp.split1, timeout, 17913749, 18000
f/V3/s38584_3_2.cnf.smp.split1, timeout, 23120723, 18000
f/V3/s38417_3_2.cnf.smp.split0, done, 2195148, 1047.05
f/V3/s15850a_3_2.cnf.smp.split0, done, 591413, 0.242055
f/V3/s9234a_3_2.cnf.smp.split1, done, 1135132, 277.11
f/V3/s9234a_3_2.cnf.smp.split0, done, 780824, 176.701
f/V3/s38584_3_2.cnf.smp.split0, mem, 64000024, 16999.5
f/V3/s5378a_3_2.cnf.smp.split0, done, 586907, 0.222208
f/V3/s5378a_3_2.cnf.smp.split1, done, 591745, 1.70289
f/enqueueSeqSK.sk_10_42.cnf.smp.split0, mem, 64375275, 7350.41
f/xpose.sk_6_134.cnf.smp.split1, timeout, 34557464, 18000
f/signedAvg.sk_8_1020.cnf.smp.split0, mem, 64088465, 11432.5
f/FMEasy/freetz.cnf.smp.split0, done, 33021341, 3613.12
f/FMEasy/2.6.32-2var.cnf.smp.split0, mem, 64000028, 6367.63
f/FMEasy/2.6.28.6-icse11.cnf.smp.split1, mem, 65138302, 4052.35
f/FMEasy/2.6.33.3-2var.cnf.smp.split1, timeout, 38726729, 18000
f/FMEasy/2.6.28.6-icse11.cnf.smp.split0, mem, 64900952, 9642.05
f/FMEasy/buildroot.cnf.smp.split1, timeout, 60194340, 18000
f/FMEasy/freetz.cnf.smp.split1, done, 600780, 0.706335
f/FMEasy/2.6.33.3-2var.cnf.smp.split0, mem, 69925511, 9694.05
f/FMEasy/buildroot.cnf.smp.split0, done, 592736, 1.02345
f/FMEasy/2.6.32-2var.cnf.smp.split1, timeout, 57691373, 18000
f/parity.sk_11_11.cnf.smp.split1, done, 976838, 174.062
f/parity.sk_11_11.cnf.smp.split0, done, 2294771, 465.62
f/Blasted_Real/blasted_case104.cnf.smp.split1, timeout, 63876464, 18000
f/Blasted_Real/blasted_case_2_ptb_2.cnf.smp.split1, done, 786493, 80.4273
f/Blasted_Real/blasted_case_1_b12_even1.cnf.smp.split0, done, 701173, 33.0807
f/Blasted_Real/blasted_TR_b12_2_linear.cnf.smp.split1, mem, 64000077, 6823.62
f/Blasted_Real/blasted_case_2_b12_even2.cnf.smp.split0, done, 2259795, 361.814
f/Blasted_Real/blasted_case_1_b12_even1.cnf.smp.split1, done, 600088, 3.37659
f/Blasted_Real/blasted_case_1_4_b14_even.cnf.smp.split0, done, 1327558, 293.999
f/Blasted_Real/blasted_case142.cnf.smp.split0, done, 725987, 51.5185
f/Blasted_Real/blasted_case_2_b12_even1.cnf.smp.split1, done, 589705, 1.17826
f/Blasted_Real/blasted_case37.cnf.smp.split1, done, 3567943, 522.785
f/Blasted_Real/blasted_TR_b12_even7_linear.cnf.smp.split0, mem, 64003153, 11928.1
f/Blasted_Real/blasted_case_2_b12_even2.cnf.smp.split1, done, 587001, 0.344651
f/Blasted_Real/blasted_squaring60.cnf.smp.split1, mem, 64826257, 15966.3
f/Blasted_Real/blasted_case_0_ptb_2.cnf.smp.split1, done, 666435, 24.7116
f/Blasted_Real/blasted_case_0_b12_even3.cnf.smp.split0, done, 1010769, 142.764
f/Blasted_Real/blasted_case_0_b12_even1.cnf.smp.split1, done, 600842, 4.2312
f/Blasted_Real/blasted_TR_b14_3_linear.cnf.smp.split1, mem, 64000212, 7495.75
f/Blasted_Real/blasted_TR_b12_even7_linear.cnf.smp.split1, done, 1722339, 309.325
f/Blasted_Real/blasted_case104.cnf.smp.split0, done, 591028, 3.90672
f/Blasted_Real/blasted_TR_b14_even_linear.cnf.smp.split0, mem, 64000114, 7877.07
f/Blasted_Real/blasted_TR_b14_even2_linear.cnf.smp.split1, mem, 64102428, 16225.9
f/Blasted_Real/blasted_case_0_b12_even1.cnf.smp.split0, done, 587599, 0.604597
f/Blasted_Real/blasted_TR_ptb_1_linear.cnf.smp.split1, done, 586350, 0.338577
f/Blasted_Real/blasted_case_3_4_b14_even.cnf.smp.split1, done, 584978, 0.108113
f/Blasted_Real/blasted_TR_b12_even3_linear.cnf.smp.split0, mem, 67386744, 11718.4
f/Blasted_Real/blasted_case_2_b12_even1.cnf.smp.split0, done, 969568, 95.6559
f/Blasted_Real/blasted_TR_b12_even2_linear.cnf.smp.split0, mem, 64492400, 12019.3
f/Blasted_Real/blasted_case_0_b12_even3.cnf.smp.split1, done, 1152200, 159.621
f/Blasted_Real/blasted_case_1_b12_even3.cnf.smp.split0, mem, 64336097, 8517.32
f/Blasted_Real/blasted_TR_ptb_2_linear.cnf.smp.split0, mem, 65645518, 11325.1
f/Blasted_Real/blasted_case_2_ptb_2.cnf.smp.split0, done, 588877, 1.14619
f/Blasted_Real/blasted_case141.cnf.smp.split0, done, 8753704, 1611.63
f/Blasted_Real/blasted_case_0_b12_even2.cnf.smp.split0, done, 652267, 21.2091
f/Blasted_Real/blasted_case_1_b12_even2.cnf.smp.split0, done, 4823339, 988.416
f/Blasted_Real/blasted_case_3_4_b14_even.cnf.smp.split0, done, 589860, 1.23956
f/Blasted_Real/blasted_case_2_b12_even3.cnf.smp.split1, done, 3160551, 517.008
f/Blasted_Real/blasted_TR_b14_even3_linear.cnf.smp.split0, done, 52047024, 11806.5
f/Blasted_Real/blasted_TR_b14_3_linear.cnf.smp.split0, done, 585408, 0.121831
f/Blasted_Real/blasted_TR_b14_even2_linear.cnf.smp.split0, mem, 64058417, 13733.6
f/Blasted_Real/blasted_case_0_b12_even2.cnf.smp.split1, done, 587079, 0.344022
f/Blasted_Real/blasted_case_1_ptb_2.cnf.smp.split0, done, 587694, 0.603538
f/Blasted_Real/blasted_case_2_b12_even3.cnf.smp.split0, done, 592596, 2.35741
