file, amc, state, mem, time
cnf/plazar/Blasted_Real/blasted_case104.cnf, 37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616, done, 30846, 2.49723
cnf/plazar/Blasted_Real/blasted_squaring27.cnf, 28311552, done, 17227, 0.226175
cnf/plazar/Blasted_Real/blasted_case56.cnf, 1048576, done, 15388, 0.0974953
cnf/plazar/Blasted_Real/blasted_TR_b12_even7_linear.cnf, 424043295546812239099991400178300443798596135250148549949185488310228746240, done, 64655, 8.36449
cnf/plazar/Blasted_Real/blasted_squaring70.cnf, 73786976294838206464, done, 17371, 0.316804
cnf/plazar/Blasted_Real/blasted_case_3_b14_3.cnf, 137438953472, done, 15405, 0.0678768
cnf/plazar/Blasted_Real/blasted_case64.cnf, 35840, done, 14888, 0.0604678
cnf/plazar/Blasted_Real/blasted_case112.cnf, 32768, done, 14991, 0.0636659
cnf/plazar/Blasted_Real/blasted_case_1_b14_3.cnf, 137438953472, done, 15405, 0.0657392
cnf/plazar/Blasted_Real/blasted_TR_b14_even2_linear.cnf, 66749594872528440074844428317798503581334516323645399060845050244444366430645017188217565216768, done, 66539, 7.83895
cnf/plazar/Blasted_Real/blasted_squaring22.cnf, 8388608, done, 16486, 0.143292
cnf/plazar/Blasted_Real/blasted_case111.cnf, 16384, done, 15683, 0.105985
cnf/plazar/Blasted_Real/blasted_case61.cnf, 281474976710656, done, 15470, 0.121113
cnf/plazar/Blasted_Real/blasted_case45.cnf, 16384, done, 14987, 0.057217
cnf/plazar/Blasted_Real/blasted_case26.cnf, 1024, done, 14716, 0.0593958
cnf/plazar/Blasted_Real/blasted_squaring14.cnf, 2061584302080, done, 26443, 2.16841
cnf/plazar/Blasted_Real/blasted_case135.cnf, 2097152, done, 15310, 0.0731592
cnf/plazar/Blasted_Real/blasted_case51.cnf, 262144, done, 15077, 0.0678894
cnf/plazar/Blasted_Real/blasted_case125.cnf, 4294967296, done, 15671, 0.0985503
cnf/plazar/Blasted_Real/blasted_case_3_4_b14_even.cnf, 348449143727040986586495598010130648530944, done, 17915, 0.164481
cnf/plazar/Blasted_Real/blasted_squaring23.cnf, 8388608, done, 16543, 0.136786
cnf/plazar/Blasted_Real/blasted_case_2_b12_even1.cnf, 178405961588244985132285746181186892047843328, done, 36016, 2.21478
cnf/plazar/Blasted_Real/blasted_case10.cnf, 36893488147419103232, done, 15724, 0.138833
cnf/plazar/Blasted_Real/blasted_squaring1.cnf, 68719476736, done, 17592, 0.303681
cnf/plazar/Blasted_Real/blasted_case5.cnf, 67108864, done, 15122, 0.0720894
cnf/plazar/Blasted_Real/blasted_TR_b14_even3_linear.cnf, 3794275180128377091639574036764685364535950857523710002444946112771297432041422848, done, 60162, 5.7178
cnf/plazar/Blasted_Real/blasted_squaring51.cnf, 16777216, done, 16240, 0.143265
cnf/plazar/Blasted_Real/blasted_case1.cnf, 131072, done, 15179, 0.074189
cnf/plazar/Blasted_Real/blasted_case2.cnf, 4194304, done, 15667, 0.122046
cnf/plazar/Blasted_Real/blasted_case4.cnf, 32768, done, 14856, 0.0519423
cnf/plazar/Blasted_Real/blasted_case206.cnf, 4, done, 14581, 0.0498688
cnf/plazar/Blasted_Real/blasted_case137.cnf, 262144, done, 14721, 0.048814
cnf/plazar/Blasted_Real/blasted_squaring10.cnf, 274877906944, done, 18259, 0.425304
cnf/plazar/Blasted_Real/blasted_case53.cnf, 262144, done, 15077, 0.0720984
cnf/plazar/Blasted_Real/blasted_TR_ptb_1_linear.cnf, 81129638414606681695789005144064, done, 21569, 0.789401
cnf/plazar/Blasted_Real/blasted_squaring2.cnf, 68719476736, done, 17707, 0.323436
cnf/plazar/Blasted_Real/blasted_case31.cnf, 1024, done, 14716, 0.0530304
cnf/plazar/Blasted_Real/blasted_case132.cnf, 2097152, done, 15314, 0.068811
cnf/plazar/Blasted_Real/blasted_case36.cnf, 276, done, 14721, 0.0551087
cnf/plazar/Blasted_Real/blasted_case143.cnf, 134217728, done, 15908, 0.0962803
cnf/plazar/Blasted_Real/blasted_case113.cnf, 32768, done, 15630, 0.107016
cnf/plazar/Blasted_Real/blasted_case20.cnf, 73786976294838206464, done, 15609, 0.0847821
cnf/plazar/Blasted_Real/blasted_case37.cnf, 2854495385411919762116571938898990272765493248, done, 18292, 0.379088
cnf/plazar/Blasted_Real/blasted_case9.cnf, 562949953421312, done, 15523, 0.128748
cnf/plazar/Blasted_Real/blasted_case_2_ptb_1.cnf, 151115727451828646838272, done, 17465, 0.299253
cnf/plazar/Blasted_Real/blasted_case62.cnf, 1073741824, done, 15409, 0.0809762
cnf/plazar/Blasted_Real/blasted_case12.cnf, 4611686018427387904, done, 16859, 0.237772
cnf/plazar/Blasted_Real/blasted_case109.cnf, 1048576, done, 15278, 0.0699638
cnf/plazar/Blasted_Real/blasted_case11.cnf, 16384, done, 14991, 0.0572542
cnf/plazar/Blasted_Real/blasted_case_1_b12_1.cnf, 1073741824, done, 15851, 0.133611
cnf/plazar/Blasted_Real/blasted_case205.cnf, 70368744177664, done, 15319, 0.0784475
cnf/plazar/Blasted_Real/blasted_case_2_b14_1.cnf, 4398046511104, done, 15278, 0.0688972
cnf/plazar/Blasted_Real/blasted_TR_ptb_2_linear.cnf, 81129638414606681695789005144064, done, 51408, 5.95001
cnf/plazar/Blasted_Real/blasted_case54.cnf, 1048576, done, 15405, 0.099585
cnf/plazar/Blasted_Real/blasted_case204.cnf, 70368744177664, done, 15319, 0.0730745
